"Module","Folder","FrozenHash","Prompt","ProviderInvoked","Disposition","BlockingRunId","BlockingSummary","OptimizationEligible"
"B02","B02-member-contact-profile-onboarding","afd0749d61b89c40ec2e2525b4becc26bb5c464eea6f332c3900752f6281cf76",".ccg/dual-model-runs/b02-convergence-step2-r1-input.md","True","PROVIDER_BLOCKED_NO_USABLE_BACKEND","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B03","B03-small-group-hierarchy-reporting","6712396a3cdbbce4c29f0b7a81e441bbf99681458095507a1c24e917ddfd34c4",".ccg/dual-model-runs/b03-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B04A","B04A-attendance-present-record","6feb93b8feb602ecac55c8a0bace7edf579d4e54e7b3e889ee35ab1d931c1675",".ccg/dual-model-runs/b04a-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B04B","B04B-appointment-equipment","c0f21f29833ea2c73f45a00bba27951054331b5b4ceacb6278a121b351dba3cf",".ccg/dual-model-runs/b04b-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B04C","B04C-scheduling-qr","dab5c26e5e1a206e17032e61d341ad442719e8a495fde96239fe1f97f8e2d886",".ccg/dual-model-runs/b04c-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B05","B05-donation-product-payment","11c3079e50c2d3c7bdc9da3510c618ec4b0ec0d2a5bf383109227b2b534b5be8",".ccg/dual-model-runs/b05-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"B07","B07-churchreport-line-integration","5c101b6ac128c80ac5cf9bf6106ca08f351ee4e85b1f402641817f03a0599265",".ccg/dual-model-runs/b07-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"F02","F02-dataverse-connection-foundation","4662622372597d7cb8156855776836579222509989e93167f921ad22ac561b97",".ccg/dual-model-runs/f02-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"F03A","F03A-crm-operations-library","1b65e2b842544e7b4028f6e58829e105f38da3525509d6346c95e736819914dc",".ccg/dual-model-runs/f03a-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"F03Q","F03Q-toolutility-mixed-facade-quarantine","9c19de5dd6fb56d3c237fd5be51e0f57cde23348ea9ab25221d458dc4f6a5fa0",".ccg/dual-model-runs/f03q-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"X01","X01-host-composition-routes-lifetimes","ddd5527314d69439acd2e57a813e406a3dedef79bf2f228232520c6992f3d41f",".ccg/dual-model-runs/x01-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
"X02A","X02A-shared-cache-foundation","feeb033c8e35785d5766d8693a964fad378a875bd7b72b132d16147054070634",".ccg/dual-model-runs/x02a-convergence-step2-r1-input.md","False","PROVIDER_BLOCKED_RETRY_DEFERRED","20260713-133151-b02-convergence-step2-r1-reviewer",".ccg/dual-model-runs/20260713-133151-b02-convergence-step2-r1-reviewer/summary.json","False"
