"RecordType","ProposedWave","Module","Workspace","DiagnosticStatus","ModuleGate","CanonicalIssueId","Category","Severity","Priority","PriorityScore","Effort","IssueGateBlocked","CrossModule","Disposition","SourcePath","SourceSection","SourceItem"
"CanonicalConfirmedIssue","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","F01A-EXT-001","Extraction","High","P1","78","M","true","F01D test-container lifecycle; F03A/F03B test content","HUMAN_DECISION_PREREQUISITE","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Ranked Confirmed Issues","F01A-EXT-001 The ToolUtility Test Gate Cannot Establish A Green Baseline"
"CanonicalConfirmedIssue","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","F01A-EXT-002","Extraction","High","P1","79","M","false","F02, F04, and all enrolled project owners","HUMAN_DECISION_PREREQUISITE","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Ranked Confirmed Issues","F01A-EXT-002 Tracked CI Does Not Enforce The Solution Or Consumer Matrix"
"CanonicalConfirmedIssue","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","F01A-EXT-003","Extraction","Medium","P2","62","M","false","F02, F04, F05A, F08, X02Q lifecycle decisions","HUMAN_DECISION_PREREQUISITE","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Ranked Confirmed Issues","F01A-EXT-003 Canonical Project Alternatives Are Unmanaged And Divergent"
"CanonicalConfirmedIssue","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","F01A-SEC-001","Security","High","P0","86","S","false","X04B package-source/provenance handoff","HUMAN_DECISION_PREREQUISITE","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Ranked Confirmed Issues","F01A-SEC-001 CI Executes Mutable Or Floating External Code"
"CanonicalConfirmedIssue","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","F01A-SEC-002","Security","Medium","P2","67","M","false","F02, F08, X02Q key lifecycle","HUMAN_DECISION_PREREQUISITE","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Ranked Confirmed Issues","F01A-SEC-002 Private Strong-Name Key Blobs Are Tracked Without Prevention"
"NonActionableObservation","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Deleted Or Rejected Candidates","Codecov secret exfiltration: rejected; no explicit secret or sensitive artifact content was proved."
"NonActionableObservation","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Deleted Or Rejected Candidates","Copilot guidance defects: handed to F01B; no product vulnerability or F01A agent-workflow ownership was claimed."
"NonActionableObservation","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Deleted Or Rejected Candidates","Enroll every visible project: rejected; quarantine/retirement can justify intentional non-enrollment."
"NonActionableObservation","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Deleted Or Rejected Candidates","F01A-PERF-C01 legacy solution matrix inflation: rejected because no CI matrix, usage frequency, or timing evidence proves material performance cost."
"NonActionableObservation","","F01A","F01A-solution-build-ci-governance","HUMAN_DECISION_REQUIRED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01A-solution-build-ci-governance/issue.md","Deleted Or Rejected Candidates","Missing explicit `permissions` and `persist-credentials: false`: retained as companion hardening for F01A-SEC-001, not a separate issue because effective token settings are external."
"CanonicalConfirmedIssue","W1","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","F01B-EXT-001","Extraction","Medium","P1","72","M","false","false","WAVE_1_ARCHIVED","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Ranked Confirmed Issues","F01B-EXT-001 Active-Task Resolution Is Duplicated Across Python And OpenCode"
"CanonicalConfirmedIssue","W1","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","F01B-PERF-001","Performance","Medium","P1","71","M","false","F01A history cleanup","WAVE_1_ARCHIVED","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Ranked Confirmed Issues","F01B-PERF-001 Generated Review History And Serena Caches Are Versioned As Governance Source"
"CanonicalConfirmedIssue","W1","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","F01B-PERF-002","Performance","Medium","P2","68","S","false","false","WAVE_1_ARCHIVED","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Ranked Confirmed Issues","F01B-PERF-002 Task Lifecycle Hooks Execute Shell Commands Without A Timeout"
"CanonicalConfirmedIssue","W1","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","F01B-SEC-001","Security","High","P0","86","M","false","F01A Git-history response; F01C CCG runner redaction/retention","WAVE_1_ARCHIVED","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Ranked Confirmed Issues","F01B-SEC-001 Tracked CCG Artifacts Retain Credential Material And Operator Metadata"
"CanonicalConfirmedIssue","W1","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","F01B-SEC-002","Security","High","P1","82","M","false","false","WAVE_1_ARCHIVED","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Ranked Confirmed Issues","F01B-SEC-002 Missing Context Identity Falls Back To Another Session's Sole Active Task"
"NonActionableObservation","","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Deleted Or Rejected Candidates","All duplicated skills need manual consolidation: rejected. Forty-two skill files are exact triplicates across `.agents`, `.claude`, and `.opencode`, and `.trellis/.template-hashes.json` records generated platform variants. Only the independently implemented active-task policy is retained."
"NonActionableObservation","","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Deleted Or Rejected Candidates","CCG runaway retries: rejected. The runner defaults to two attempts, uses a 900-second backend timeout, a 420-second health timeout, and kills timed-out process trees."
"NonActionableObservation","","F01B","F01B-ai-agent-workflow-governance","APPROVED_DEGRADED","READY","","","","","","","","","NON_ACTIONABLE_SOURCE_ONLY","docs/project-modular-diagnostics/F01B-ai-agent-workflow-governance/issue.md","Deleted Or Rejected Candidates","Current lifecycle hooks execute malicious commands: rejected. No hooks are enabled in `.trellis/config.yaml`."
