"Module","Folder","Hash","Title","PromptPath"
"B02","B02-member-contact-profile-onboarding","afd0749d61b89c40ec2e2525b4becc26bb5c464eea6f332c3900752f6281cf76","b02-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b02-convergence-step2-r1-input.md"
"B03","B03-small-group-hierarchy-reporting","6712396a3cdbbce4c29f0b7a81e441bbf99681458095507a1c24e917ddfd34c4","b03-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b03-convergence-step2-r1-input.md"
"B04A","B04A-attendance-present-record","6feb93b8feb602ecac55c8a0bace7edf579d4e54e7b3e889ee35ab1d931c1675","b04a-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b04a-convergence-step2-r1-input.md"
"B04B","B04B-appointment-equipment","c0f21f29833ea2c73f45a00bba27951054331b5b4ceacb6278a121b351dba3cf","b04b-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b04b-convergence-step2-r1-input.md"
"B04C","B04C-scheduling-qr","dab5c26e5e1a206e17032e61d341ad442719e8a495fde96239fe1f97f8e2d886","b04c-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b04c-convergence-step2-r1-input.md"
"B05","B05-donation-product-payment","11c3079e50c2d3c7bdc9da3510c618ec4b0ec0d2a5bf383109227b2b534b5be8","b05-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b05-convergence-step2-r1-input.md"
"B07","B07-churchreport-line-integration","5c101b6ac128c80ac5cf9bf6106ca08f351ee4e85b1f402641817f03a0599265","b07-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\b07-convergence-step2-r1-input.md"
"F02","F02-dataverse-connection-foundation","4662622372597d7cb8156855776836579222509989e93167f921ad22ac561b97","f02-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\f02-convergence-step2-r1-input.md"
"F03A","F03A-crm-operations-library","1b65e2b842544e7b4028f6e58829e105f38da3525509d6346c95e736819914dc","f03a-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\f03a-convergence-step2-r1-input.md"
"F03Q","F03Q-toolutility-mixed-facade-quarantine","9c19de5dd6fb56d3c237fd5be51e0f57cde23348ea9ab25221d458dc4f6a5fa0","f03q-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\f03q-convergence-step2-r1-input.md"
"X01","X01-host-composition-routes-lifetimes","ddd5527314d69439acd2e57a813e406a3dedef79bf2f228232520c6992f3d41f","x01-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x01-convergence-step2-r1-input.md"
"X02A","X02A-shared-cache-foundation","feeb033c8e35785d5766d8693a964fad378a875bd7b72b132d16147054070634","x02a-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x02a-convergence-step2-r1-input.md"
"X02B","X02B-observability-health-logging","f7950b8c7f9e831e7c92a2419e48ae629c9eb509c25da218bfb8b0cd598283a4","x02b-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x02b-convergence-step2-r1-input.md"
"X02C","X02C-performance-profiling","097bfeb0f0dde1e79943839c63a67b1b40bba4d753c84f5dfee9aba5f4ecb3b8","x02c-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x02c-convergence-step2-r1-input.md"
"X02Q","X02Q-legacy-trace-quarantine","b9afe25e73e32797fd23d32aa57eff0f82be2e5294f4d15c1ca851f8c7c99207","x02q-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x02q-convergence-step2-r1-input.md"
"X03","X03-shared-web-ui-assets","16f63c41d17cd0f4756e183abcc80e1db65f911bc0432246d52653e1da8c8f35","x03-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x03-convergence-step2-r1-input.md"
"X04B","X04B-deployment-package-sources","60f11785574fa03c912c1c5ada047bb3397b5847a0998fc75adee2f738bdc2bb","x04b-convergence-step2-r1","D:\音訊科技產品\系統平台\SpeechMessageProducts\.worktrees\1.0.0.1.EvenVersion\.ccg\dual-model-runs\x04b-convergence-step2-r1-input.md"
